Ticker,Index,Close
AWC,14,2.7015
AWC,13,2.5922
AWC,12,2.2773
AWC,11,2.4265
AWC,10,2.5713
AWC,9,1.81
AWC,8,2.0149
AWC,7,1.757
AWC,6,2.1212
AWC,5,2.0994
AWC,4,1.9478
AWC,3,1.5732
AWC,2,1.5581
AWC,1,1.4838
AWC,0,1.6774
AMA,50,0.92
AMA,49,1.125
AMA,48,1.0272
AMA,47,1.0659999999999998
AMA,46,1.0219
AMA,45,0.9437
AMA,44,0.9419
AMA,43,0.9562
AMA,42,0.9232
AMA,41,0.9851
AMA,40,0.8667
AMA,39,0.8995
AMA,38,0.8287
AMA,37,0.9032
AMA,36,0.6504
AMA,35,0.4821
AMA,34,0.4094
AMA,33,0.2957
AMA,32,0.2765
AMA,31,0.1944
AMA,30,0.2074
AMA,29,0.2895
AMA,28,0.3014
AMA,27,0.223
AMA,26,0.3014
AMA,25,0.3138
AMA,24,0.16899999999999998
AMA,23,0.1076
AMA,22,0.1114
AMA,21,0.096
AMA,20,0.1037
AMA,19,0.0715
AMA,18,0.0966
AMA,17,0.0315
AMA,16,0.0286
AMA,15,0.0329
AMA,14,0.0429
AMA,13,0.0508
AMA,12,0.0136
AMA,11,0.0136
AMA,10,0.0279
AMA,9,0.1187
AMA,8,0.1904
AMA,7,0.2126
AMA,6,0.3561
AMA,5,0.4331
AMA,4,0.2682
AMA,3,0.1976
AMA,2,0.2142
AMA,1,0.1843
AMA,0,0.1866
AYS,50,1.005
AYS,49,0.99
AYS,48,1.1
AYS,47,1.07
AYS,46,1.16
AYS,45,0.95
AYS,44,0.9
AYS,43,1.0
AYS,42,0.775
AYS,41,1.095
AYS,40,1.11
AYS,39,1.21
AYS,38,1.51
AYS,37,2.05
AYS,36,2.0
AYS,35,2.01
AYS,34,2.02
AYS,33,2.0
AYS,32,1.97
AYS,31,1.7173
AYS,30,1.6880000000000002
AYS,29,1.5709
AYS,28,1.8539
AYS,27,1.8539
AYS,26,1.7124
AYS,25,1.8539
AYS,24,1.6843
AYS,23,1.8417
AYS,22,1.9085
AYS,21,1.8179
AYS,20,2.1089
AYS,19,2.0612
AYS,18,2.0517
AYS,17,1.9071
AYS,16,1.6652
AYS,15,1.8466
AYS,14,1.5536
AYS,13,1.7024
AYS,12,1.6931
AYS,11,1.6745
AYS,10,1.7581
AYS,9,1.694
AYS,8,2.9302
AYS,7,2.5639
AYS,6,2.0878
AYS,5,2.1702
AYS,4,2.2618
AYS,3,2.0969
AYS,2,1.9687
AYS,1,1.9046
AYS,0,1.7398
AMC,50,13.26
AMC,49,14.8925
AMC,48,13.7687
AMC,47,15.2633
AMC,46,15.0098
AMC,45,13.6163
AMC,44,14.3942
AMC,43,13.9944
AMC,42,12.2586
AMC,41,12.5653
AMC,40,11.9632
AMC,39,9.6502
AMC,38,8.8648
AMC,37,8.7439
AMC,36,7.5995
AMC,35,6.8243
AMC,34,5.5909
AMC,33,5.0415
AMC,32,4.6318
AMC,31,4.4781
AMC,30,4.5447
AMC,29,4.1015
AMC,28,4.1983
AMC,27,3.6275
AMC,26,3.3507
AMC,25,2.5341
AMC,24,2.7632
AMC,23,2.4914
AMC,22,3.1211
AMC,21,3.0495
AMC,20,3.2346
AMC,19,3.0836
AMC,18,3.1302
AMC,17,2.8083
AMC,16,3.0039
AMC,15,2.7101
AMC,14,2.8215
AMC,13,2.9417
AMC,12,2.5786
AMC,11,2.6709
AMC,10,3.0913
AMC,9,2.9471
AMC,8,2.8208
AMC,7,2.7752
AMC,6,2.4734
AMC,5,2.2412
AMC,4,2.1024
AMC,3,1.7442
AMC,2,1.5713
AMC,1,1.4926
AMC,0,1.5617
AMP,50,2.33
AMP,49,3.4277
AMP,48,5.127000000000001
AMP,47,4.7712
AMP,46,4.581
AMP,45,4.5351
AMP,44,4.6779
AMP,43,5.0096
AMP,42,4.8608
AMP,41,5.2426
AMP,40,5.4602
AMP,39,4.399
AMP,38,4.1703
AMP,37,3.4287
AMP,36,3.5494
AMP,35,3.9345
AMP,34,3.3865
AMP,33,2.7179
AMP,32,2.9598
AMP,31,2.6687
AMP,30,3.7104
AMP,29,3.3285
AMP,28,3.3466
AMP,27,3.8337
AMP,26,4.2856
AMP,25,2.858
AMP,24,3.2198
AMP,23,3.5649
AMP,22,4.7214
AMP,21,5.6046
AMP,20,5.4315
AMP,19,5.3997
AMP,18,4.4175
AMP,17,4.7317
AMP,16,3.5827
AMP,15,3.1946
AMP,14,3.3256
AMP,13,2.8531
AMP,12,2.6578
AMP,11,2.0399
AMP,10,2.2617
AMP,9,1.8961
AMP,8,3.8901
AMP,7,4.5774
AMP,6,6.452999999999999
AMP,5,6.04
AMP,4,7.1878
AMP,3,6.4910000000000005
AMP,2,5.5525
AMP,1,4.9262
AMP,0,5.6981
ANN,50,23.57
ANN,49,28.1781
ANN,48,25.4254
